PROVINCIA;CANTÓN;Servicios;VAB Economía total;%
PICHINCHA;Quito;16081686,2;25032606,08;33,63
GUAYAS;Guayaquil;10238480,18;22201182,07;21,41
AZUAY;Cuenca;2379198,992;4779113,913;4,98
TUNGURAHUA;Ambato;1214037,574;2195351,696;2,54
SANTO DOMINGO;Santo Domingo;793982,5873;1994040,385;1,66
MANABÍ;Portoviejo;768306,7234;1469771,602;1,61
LOJA;Loja;762943,0267;1381031,64;1,6
EL ORO;Machala;750222,7946;2192265,741;1,57
MANABÍ;Manta;745052,9794;1712731,065;1,56
CHIMBORAZO;Riobamba;705619,1849;1332526,406;1,48
GUAYAS;Samborondón;596923,3502;945231,7976;1,25
IMBABURA;Ibarra;587352,7052;1134571,459;1,23
ESMERALDAS;Esmeraldas;518917,4569;1694302,335;1,09
COTOPAXI;Latacunga;498574,5309;1156034,352;1,04
PICHINCHA;Rumiñahui;402711,5216;823981,4896;0,84
GUAYAS;Daule;396783,5147;526862,3928;0,83
LOS RÍOS;Quevedo;376618,2189;958055,5283;0,79
LOS RÍOS;Babahoyo;305572,4714;848389,7363;0,64
GUAYAS;Durán;296271,3192;1809621,675;0,62
GUAYAS;Milagro;292509,6545;530428,2566;0,61
SUCUMBÍOS;Lago Agrio;221892,974;887007,231;0,46
CARCHI;Tulcán;207808,8553;420686,1842;0,43
PASTAZA;Pastaza;201490,1613;672787,5613;0,42
CAÑAR;Azogues;198371,4642;357160,126;0,41
MANABÍ;Chone;194967,4753;282030,3404;0,41
IMBABURA;Otavalo;191630,9364;395529,0148;0,4
AZUAY;Sevilla De Oro;188986,6367;195263,3651;0,4
BOLÍVAR;Guaranda;181990,4098;387642,9915;0,38
SANTA ELENA;Santa Elena;170876,8732;514385,1706;0,36
ORELLANA;Orellana;167127,3904;1548719,806;0,35
PICHINCHA;Cayambe;166963,6938;374158,919;0,35
PICHINCHA;Mejía;166119,7567;379993,4522;0,35
SANTA ELENA;La Libertad;160712,7389;662427,8822;0,34
TUNGURAHUA;Baños;154008,5669;174067,5357;0,32
NAPO;Tena;148334,8409;234156,0256;0,31
GALÁPAGOS;Santa Cruz;140335,9386;179559,9439;0,29
MORONA SANTIAGO;Morona;134400,1356;200173,5149;0,28
SANTA ELENA;Salinas;134357,1004;338349,1561;0,28
EL ORO;Pasaje;126326,5569;254415,3186;0,26
NAPO;El Chaco;124682,6684;136461,1598;0,26
EL ORO;Santa Rosa;119977,0716;301469,1849;0,25
ESMERALDAS;Quinindé;117383,4461;461151,1438;0,25
CAÑAR;La Troncal;113402,2002;345079,5662;0,24
CAÑAR;Cañar;108400,101;177316,9535;0,23
MANABÍ;Montecristi;97301,2122;685826,0299;0,2
GUAYAS;El Empalme;96215,3544;166131,7908;0,2
MANABÍ;El Carmen;90963,6354;217854,795;0,19
EL ORO;El Guabo;90881,175;332404,2771;0,19
SUCUMBÍOS;Shushufindi;90132,1186;676571,204;0,19
TUNGURAHUA;San Pedro De Pelileo;89595,8727;192076,1882;0,19
ZAMORA CHINCHIPE;Zamora;89161,6877;137158,6438;0,19
LOS RÍOS;Buena Fé;88876,3686;263790,1826;0,19
MANABÍ;Sucre;88663,3335;206834,5192;0,19
COTOPAXI;Salcedo;88344,2271;258998,4811;0,18
LOS RÍOS;Ventanas;86921,2011;258303,1994;0,18
MANABÍ;Jipijapa;85752,4155;111887,5;0,18
ORELLANA;La Joya De Los Sachas;85665,377;2773683,752;0,18
GUAYAS;Playas (General Villamil);84107,5873;106015,3943;0,18
GUAYAS;Naranjal;81559,2969;260436,7606;0,17
EL ORO;Huaquillas;79221,1121;162574,1362;0,17
LOS RÍOS;Vinces;77953,4913;180559,8072;0,16
IMBABURA;Antonio Ante;74819,3936;146747,0116;0,16
ESMERALDAS;Atacames;72645,4988;178931,19;0,15
AZUAY;Gualaceo;72595,4996;100565,7704;0,15
COTOPAXI;Pujilí;69624,9952;137515,5934;0,15
MANABÍ;Pedernales;66442,8828;129616,7619;0,14
EL ORO;Piñas;64570,1562;118596,5192;0,14
GUAYAS;Yaguachi;61862,4745;314933,8461;0,13
TUNGURAHUA;Santiago De Píllaro;58867,1384;107416,7176;0,12
GUAYAS;El Triunfo;54872,3955;147386,1272;0,11
ZAMORA CHINCHIPE;Yanzatza;54867,6177;75695,3017;0,11
COTOPAXI;La Maná;54745,9247;155073,1874;0,11
MANABÍ;Bolívar;52965,8811;83060,5066;0,11
LOS RÍOS;Valencia;52209,0356;253613,7345;0,11
GALÁPAGOS;San Cristóbal;51808,4085;65250,4772;0,11
