Provincia;Cantón;"Ventas totales, 2019
(miles de dólares)";"Ventas totales, 2020
(miles de dólares)";% ventas servicios 2019;% ventas servicios 2020
Pichincha;Quito;20072804;16337859;44,99;43,92
Guayas;Guayaquil;13485519;11502483;30,22;30,92
Azuay;Cuenca;2667539;2440606;5,98;6,56
Tungurahua;Ambato;783883;650957;1,76;1,75
Esmeraldas;Esmeraldas;582821;623033;1,31;1,67
Guayas;Samborondon;673474;567526;1,51;1,53
Loja;Loja;499443;424157;1,12;1,14
El Oro;Machala;387029;336594;0,87;0,9
Manabi;Portoviejo;363097;279713;0,81;0,75
Chimborazo;Riobamba;305588;270269;0,68;0,73
Imbabura;Ibarra;333677;263521;0,75;0,71
Pichincha;Rumiðahui;296107;252036;0,66;0,68
Manabi;Manta;319440;249721;0,72;0,67
Santo Domingo de los Tsachilas;Santo Domingo;285725;223209;0,64;0,6
Cotopaxi;Latacunga;253725;196465;0,57;0,53
Guayas;Duran;208242;196584;0,47;0,53
Carchi;Tulcan;133544;124655;0,3;0,34
Guayas;Daule;151916;120500;0,34;0,32
Orellana;Orellana;157813;110954;0,35;0,3
Pichincha;Cayambe;94259;84246;0,21;0,23
Los Rios;Quevedo;83147;66725;0,19;0,18
Guayas;Milagro;70175;63228;0,16;0,17
Sucumbios;Lago Agrio;89487;62180;0,2;0,17
Imbabura;Otavalo;73597;58842;0,16;0,16
Pichincha;Mejia;77759;60493;0,17;0,16
Cañar;Azogues;59572;52725;0,13;0,14
Los Rios;Babahoyo;64142;53820;0,14;0,14
Orellana;La Joya de los Sachas;71028;53221;0,16;0,14
El Oro;Santa Rosa;57846;47855;0,13;0,13
Santa Elena;La Libertad;64957;49094;0,15;0,13
Santa Elena;Santa Elena;48987;49023;0,11;0,13
Galapagos;Santa Cruz;146740;43742;0,33;0,12
Pastaza;Pastaza;54835;46336;0,12;0,12
Cañar;Biblian;36838;39078;0,08;0,11
Manabi;Montecristi;49662;42517;0,11;0,11
Sucumbios;Shushufindi;48108;39825;0,11;0,11
Imbabura;Antonio Ante;42305;35854;0,09;0,1
Bolivar;Guaranda;38048;31945;0,09;0,09
Manabi;Chone;47867;34820;0,11;0,09
Cotopaxi;Salcedo;36598;31487;0,08;0,08
Galapagos;San Cristobal;50172;28157;0,11;0,08
Santa Elena;Salinas;35895;29482;0,08;0,08
Cañar;Cañar;25752;27129;0,06;0,07
Guayas;San Jacinto de Yaguachi;21295;25717;0,05;0,07
Zamora Chinchipe;Yantzaza;37213;27715;0,08;0,07
Bolivar;Chimbo;22578;23313;0,05;0,06
El Oro;Huaquillas;30093;23917;0,07;0,06
El Oro;Piñas;29616;22379;0,07;0,06
