año;ADM1_ES;ADM2_ES;Ventas totales
2019;Azuay;Camilo Ponce Enriquez;13774
2019;Azuay;Chordeleg;3308
2019;Azuay;Cuenca;2667539
2019;Azuay;El Pan;92
2019;Azuay;Giron;3870
2019;Azuay;Guachapala;117
2019;Azuay;Gualaceo;12507
2019;Azuay;Nabon;1465
2019;Azuay;Oña;88
2019;Azuay;Paute;10386
2019;Azuay;Pucara;1560
2019;Azuay;San Fernando;264
2019;Azuay;Santa Isabel;3811
2019;Azuay;Sevilla de Oro;2045
2019;Azuay;Sigsig;3081
2019;Bolivar;Caluma;6833
2019;Bolivar;Chillanes;1491
2019;Bolivar;Chimbo;22578
2019;Bolivar;Echeandia;1334
2019;Bolivar;Guaranda;38048
2019;Bolivar;Las Naves;807
2019;Bolivar;San Miguel;8436
2019;Cañar;Azogues;59572
2019;Cañar;Biblian;36838
2019;Cañar;Cañar;25752
2019;Cañar;Deleg;398
2019;Cañar;El Tambo;7456
2019;Cañar;La Troncal;19922
2019;Cañar;Suscal;992
2019;Carchi;Bolivar;2638
2019;Carchi;Espejo;3466
2019;Carchi;Mira;1970
2019;Carchi;Montufar;14453
2019;Carchi;San Pedro de Huaca;493
2019;Carchi;Tulcan;133544
2019;Chimborazo;Alausi;8337
2019;Chimborazo;Chambo;3770
2019;Chimborazo;Chunchi;1466
2019;Chimborazo;Colta;1847
2019;Chimborazo;Cumanda;10419
2019;Chimborazo;Guamote;2478
2019;Chimborazo;Guano;5323
2019;Chimborazo;Pallatanga;1794
2019;Chimborazo;Penipe;7269
2019;Chimborazo;Riobamba;305588
2019;Cotopaxi;La Mana;14264
2019;Cotopaxi;Latacunga;253725
2019;Cotopaxi;Pangua;3362
2019;Cotopaxi;Pujili;13670
2019;Cotopaxi;Salcedo;36598
2019;Cotopaxi;Saquisili;6244
2019;Cotopaxi;Sigchos;4188
2019;El Oro;Arenillas;11144
2019;El Oro;Atahualpa;292
2019;El Oro;Balsas;6662
2019;El Oro;Chilla;58
2019;El Oro;El Guabo;17409
2019;El Oro;Huaquillas;30093
2019;El Oro;Las Lajas;656
2019;El Oro;Machala;387029
2019;El Oro;Marcabeli;1130
2019;El Oro;Pasaje;27484
2019;El Oro;Piñas;29616
2019;El Oro;Portovelo;10082
2019;El Oro;Santa Rosa;57846
2019;El Oro;Zaruma;14979
2019;Esmeraldas;Atacames;13283
2019;Esmeraldas;Eloy Alfaro;2097
2019;Esmeraldas;Esmeraldas;582821
2019;Esmeraldas;Muisne;725
2019;Esmeraldas;Quininde;26917
2019;Esmeraldas;Rioverde;3110
2019;Esmeraldas;San Lorenzo;4742
2019;Galapagos;Isabela;13046
2019;Galapagos;San Cristobal;50172
2019;Galapagos;Santa Cruz;146740
2019;Guayas;Alfredo Baquerizo Moreno;2014
2019;Guayas;Balao;494
2019;Guayas;Balzar;4302
2019;Guayas;Colimes;817
2019;Guayas;Crnel. Marcelino Maridueña;5644
2019;Guayas;Daule;151916
2019;Guayas;Duran;208242
2019;Guayas;El Triunfo;11042
2019;Guayas;Empalme;15394
2019;Guayas;Gnral. Antonio Elizalde;5572
2019;Guayas;Guayaquil;13485519
2019;Guayas;Isidro Ayora;1018
2019;Guayas;Lomas de Sargentillo;1328
2019;Guayas;Milagro;70175
2019;Guayas;Naranjal;20844
2019;Guayas;Naranjito;7811
2019;Guayas;Nobol;6073
2019;Guayas;Palestina;1144
2019;Guayas;Pedro Carbo;7261
2019;Guayas;Playas;26262
2019;Guayas;Salitre;2818
2019;Guayas;Samborondon;673474
2019;Guayas;San Jacinto de Yaguachi;21295
2019;Guayas;Santa Lucia;4491
2019;Guayas;Simon Bolivar;1670
2019;Imbabura;Antonio Ante;42305
2019;Imbabura;Cotacachi;12566
2019;Imbabura;Ibarra;333677
2019;Imbabura;Otavalo;73597
2019;Imbabura;Pimampiro;474
2019;Imbabura;San Miguel de Urcuqui;12050
2019;Loja;Calvas;5897
2019;Loja;Catamayo;9175
2019;Loja;Celica;1075
2019;Loja;Chaguarpamba;718
2019;Loja;Espindola;182
2019;Loja;Gonzanama;1985
2019;Loja;Loja;499443
2019;Loja;Macara;2588
2019;Loja;Olmedo;99
2019;Loja;Paltas;1685
2019;Loja;Pindal;3491
2019;Loja;Puyango;3555
2019;Loja;Quilanga;601
2019;Loja;Saraguro;5780
2019;Loja;Sozoranga;4
2019;Loja;Zapotillo;1424
2019;Los Rios;Baba;3175
2019;Los Rios;Babahoyo;64142
2019;Los Rios;Buena Fe;8846
2019;Los Rios;Mocache;4174
2019;Los Rios;Montalvo;9580
2019;Los Rios;Palenque;163
2019;Los Rios;Puebloviejo;2515
2019;Los Rios;Quevedo;83147
2019;Los Rios;Quinsaloma;1936
2019;Los Rios;Urdaneta;1882
2019;Los Rios;Valencia;19436
2019;Los Rios;Ventanas;21989
2019;Los Rios;Vinces;4790
2019;Manabi;24 de Mayo;1255
2019;Manabi;Bolivar;14503
2019;Manabi;Chone;47867
2019;Manabi;El Carmen;17325
2019;Manabi;Flavio Alfaro;1435
2019;Manabi;Jama;4908
2019;Manabi;Jaramijo;13580
2019;Manabi;Jipijapa;9852
2019;Manabi;Junin;5515
2019;Manabi;Manta;319440
2019;Manabi;Montecristi;49662
2019;Manabi;Olmedo;2510
2019;Manabi;Pajan;1708
2019;Manabi;Pedernales;12176
2019;Manabi;Pichincha;1476
2019;Manabi;Portoviejo;363097
2019;Manabi;Puerto Lopez;3843
2019;Manabi;Rocafuerte;6567
2019;Manabi;San Vicente;2590
2019;Manabi;Santa Ana;10043
2019;Manabi;Sucre;14902
2019;Manabi;Tosagua;6333
2019;Morona Santiago;Gualaquiza;8828
2019;Morona Santiago;Huamboya;261
2019;Morona Santiago;Limon Indanza;747
2019;Morona Santiago;Logroðo;1305
2019;Morona Santiago;Morona;17630
2019;Morona Santiago;Pablo Sexto;74
2019;Morona Santiago;Palora;1406
2019;Morona Santiago;San Juan Bosco;746
2019;Morona Santiago;Santiago;3298
2019;Morona Santiago;Sucua;5943
2019;Morona Santiago;Taisha;457
2019;Morona Santiago;Tiwintza;87
2019;Napo;Archidona;4369
2019;Napo;Carlos Julio Arosemena Tola;285
2019;Napo;El Chaco;5138
2019;Napo;Quijos;14224
2019;Napo;Tena;24271
2019;Orellana;Aguarico;4230
2019;Orellana;La Joya de los Sachas;71028
2019;Orellana;Loreto;2514
2019;Orellana;Orellana;157813
2019;Pastaza;Arajuno;254
2019;Pastaza;Mera;13502
2019;Pastaza;Pastaza;54835
2019;Pastaza;Santa Clara;1490
2019;Pichincha;Cayambe;94259
2019;Pichincha;Mejia;77759
2019;Pichincha;Pedro Moncayo;17107
2019;Pichincha;Pedro Vicente Maldonado;4940
2019;Pichincha;Puerto Quito;3543
2019;Pichincha;Quito;20072804
2019;Pichincha;Rumiðahui;296107
2019;Pichincha;San Miguel de Los Bancos;10831
2019;Santa Elena;La Libertad;64957
2019;Santa Elena;Salinas;35895
2019;Santa Elena;Santa Elena;48987
2019;Santo Domingo de los Tsachilas;Santo Domingo;285725
2019;Sucumbios;Cascales;1215
2019;Sucumbios;Cuyabeno;11463
2019;Sucumbios;Gonzalo Pizarro;1684
2019;Sucumbios;Lago Agrio;89487
2019;Sucumbios;Putumayo;2008
2019;Sucumbios;Shushufindi;48108
2019;Sucumbios;Sucumbios;325
2019;Tungurahua;Ambato;783883
2019;Tungurahua;Baños de Agua Santa;41647
2019;Tungurahua;Cevallos;5235
2019;Tungurahua;Mocha;403
2019;Tungurahua;Patate;5168
2019;Tungurahua;Quero;2343
2019;Tungurahua;San Pedro de Pelileo;21399
