Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Afghanistan	AFG	..	..	49.6968203962567	50.5793979236606	52.6827434733525	52.9908650351499	53.2352934986503	59.0232164144095	58.3290500097748	59.4774229106653	55.4728067408306	56.0685496358541
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Albania	ALB	..	44.3028027650255	44.2563672971517	44.9546198966638	44.6070047712584	45.782514890673	46.2843479230646	46.697147053603	47.9695072018041	47.7400510870286	48.5759175924794	48.4282850128423
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Algeria	DZA	..	33.1105540348727	40.466843440234	40.5044838249536	42.2042478702593	43.8892418517702	48.5191975905904	49.2931771018533	47.6352072980791	45.4521007417259	46.2339010098736	47.7797680484845
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	American Samoa	ASM	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Andorra	AND	..	..	..	..	..	..	..	..	..	..	..	..
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Angola	AGO	..	22.2123554945612	39.0758313423906	39.6049460938059	42.7849161208976	46.8139275295854	48.6598890939393	46.980994325159	46.7626245811004	43.2069094144864	38.8503462339698	41.3944361433503
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Antigua and Barbuda	ATG	72.4924832939697	76.2065256364288	72.0802052337203	71.6157488286531	70.9483966632287	70.3871640764845	69.8808834408864	68.5308267032417	67.3897576408968	65.8120407433469	66.2552091458115	65.2172661267949
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Argentina	ARG	55.8544476443929	63.469313441501	51.8119007511102	53.6581179163924	53.9190936666216	52.9405434663365	55.8149012843362	56.1222358547004	57.3499373815692	55.9260216985071	54.3334016942752	54.3371880468241
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Armenia	ARM	..	..	..	45.6989324054448	45.749756861728	47.4130437470384	48.2126693907876	49.9105094267778	50.7652583569469	52.6163051198371	54.2338376614097	53.2963672595596
"Services, value added (% of GDP)"	NV.SRV.TOTL.ZS	Aruba	ABW	..	67.6377971540012	..	..	..	..	..	..	..	..	..	..
