dimension1	dimension1 (2)	dimension2	medida
Agricultura, ganadería, silvicultura y pesca	A0322 Acuicultura de agua dulce.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0321 Acuicultura marina.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0312 Pesca de agua dulce.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0240 Servicios de apoyo a la silvicultura.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0220 Extracción de madera.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0210 Silvicultura y otras actividades forestales.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0170 Caza ordinaria, mediante trampas y actividades de servicios conexas.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0164 Tratamiento de semillas para propagación.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0163 Actividades poscosecha.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0162 Actividades de apoyo a la ganadería.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0161 Actividades de apoyo a la agricultura.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0150 Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta).	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0149 Cría de otros animales.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0146 Cría de aves de corral.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0145 Cría de cerdos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0144 Cría de ovejas y cabras.	01 Azuay	nan
Agricultura, ganadería, silvicultura y pesca	A0142 Cría de caballos y otros equinos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0141 Cría de ganado bovino y búfalos.	01 Azuay	0
Agricultura, ganadería, silvicultura y pesca	A0130 Propagación de plantas.	01 Azuay	5518,877
Agricultura, ganadería, silvicultura y pesca	A0129 Cultivo de otras plantas perennes.	01 Azuay	nan
